original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
Abduction,2019,"Action,Sci-Fi",1592,6.1,35000000,28087155,86648359
Swingers,2018,Comedy,103,4.2,200000,4505922,6618578
Dinner for Schmucks,2010,Comedy,91546,5.9,69000000,73026337,86796502
Before We Go,2014,"Comedy,Drama,Romance",45181,6.8,3000000,37151,483938
Rings,2017,"Drama,Horror,Mystery",34151,4.5,25000000,27793018,82917283
Footloose,2011,"Comedy,Drama,Music",43251,5.9,24000000,51802742,62989834
Lights Out,2010,Drama,10,6.6,5000000,67268835,148806510
Paul,2011,"Adventure,Comedy,Sci-Fi",220567,7.0,40000000,37412945,101162106
A Walk in the Woods,2015,"Adventure,Biography,Comedy",22033,6.3,8000000,29499394,37119358
The Lion of Judah,2011,Animation,511,3.8,1500000,0,0
Due Date,2010,"Adventure,Comedy",303523,6.5,65000000,100539043,211739043
Mars Needs Moms,2011,"Adventure,Animation,Family",19823,5.4,150000000,21392758,39549758
Devil,2010,"Horror,Mystery,Thriller",122080,6.2,10000000,33679655,63354114
Something Wicked,2014,"Drama,Horror,Mystery",1243,4.8,3000000,0,0
Butterfly,2010,"Horror,Thriller",53,4.7,250000,0,0
Grown Ups,2010,Comedy,210377,6.0,75000000,162001186,272223430
Total Recall,2012,"Action,Adventure,Mystery",228460,6.3,125000000,58877969,211856088
We Bought a Zoo,2011,"Comedy,Drama,Family",126849,7.1,50000000,75624550,118729073
Barney's Version,2010,"Comedy,Drama",23058,7.3,30000000,7502560,8845575
Attack the Block,2011,"Action,Comedy,Sci-Fi",93868,6.7,13000000,1024175,6459183
Drive Angry,2011,"Action,Fantasy,Thriller",90203,5.4,50000000,10721033,41042583
Beyond the Black Rainbow,2010,"Horror,Sci-Fi,Thriller",10765,6.0,1100000,56491,56491
Soul Surfer,2011,"Biography,Drama,Family",41659,7.1,18000000,43853424,47158652
The Visit,2010,"Comedy,Drama,Romance",7,8.3,5000000,65206105,98677816
The Foreigner,2017,"Action,Thriller",81288,7.0,35000000,34393507,140783360
Damsels in Distress,2011,"Comedy,Drama,Romance",8794,5.7,3000000,1007535,1324299
Home Run,2010,"Drama,Family,Sport",66,4.2,1200000,2859955,2859955
Creature,2011,Horror,2723,3.7,3000000,331000,331000
The Way Way Back,2013,"Comedy,Drama",132642,7.4,5000000,21502690,26853810
The Family,2011,"Horror,Thriller",833,5.0,30000000,36918811,51078541
Kill List,2011,"Crime,Drama,Horror",32807,6.4,800000,29063,462206
Life of the Party,2017,"Comedy,Drama",47,7.6,30000000,53059911,65759911
The Face of Love,2013,"Drama,Mystery,Romance",4710,6.2,4000000,385069,1158877
Hayride,2012,"Crime,Drama,Horror",622,3.4,60000,0,0
Snatched,2018,Thriller,142,5.5,42000000,45852178,57852177
Warcraft,2016,"Action,Adventure,Fantasy",225557,6.9,160000000,47225655,425522281
The Fighter,2010,"Biography,Drama,Sport",316539,7.8,11000000,93617009,129262388
The Green Hornet,2011,"Action,Comedy,Crime",148622,5.8,110000000,98780042,229155503
Sisters,2015,Comedy,58994,6.0,30000000,87044645,106030660
The Sessions,2012,"Biography,Comedy,Drama",39731,7.2,1000000,6002451,11495204
Q,2011,Drama,5322,5.6,1200000,255000,255000
Newlyweds,2011,"Comedy,Drama",1436,6.4,9000,4584,4584
Carrie,2013,"Drama,Horror",125424,5.9,30000000,35266619,82409520
Morgan,2012,"Drama,Romance",1232,6.8,8000000,3915251,7298786
Sholem Aleichem: Laughing in the Darkness,2011,Documentary,157,6.8,500000,1131261,1131261
War Dogs,2016,"Comedy,Crime,Drama",154029,7.1,50000000,43034523,86234503
Hostage,2013,"Drama,Horror,Thriller",114,3.4,75000000,34636443,77636443
Jackie,2012,"Comedy,Drama",1952,6.8,9000000,13960394,36588512
Diamond Ruff,2015,Action,65,4.3,500000,0,0
American Sniper,2014,"Action,Biography,Drama",401915,7.3,58000000,350126372,547326372
Highway,2012,Drama,195,6.7,2000000,0,0
Valerian and the City of a Thousand Planets,2017,"Action,Adventure,Fantasy",139792,6.5,180000000,40479370,215098356
The Gatekeepers,2012,"Documentary,History,War",5214,7.6,1500000,2408553,2592308
Jobs,2013,"Biography,Drama",88788,5.9,18000000,16131410,43402515
Independence Daysaster,2013,"Action,Adventure,Sci-Fi",974,3.4,1800000,0,0
Locke,2013,Drama,120703,7.1,2000000,1370646,2088390
Birth of the Dragon,2016,"Action,Biography,Drama",6090,5.4,31000000,6901965,7220490
Amnesiac,2014,"Drama,Horror,Mystery",3129,4.3,3000000,0,0
The Looking Glass,2015,"Drama,Music",156,5.8,300000,1711,1711
Cars 3,2017,"Adventure,Animation,Comedy",59408,6.8,175000000,152901115,383541369
Dark Phoenix,2019,"Action,Adventure,Sci-Fi",24451,6.0,350000000,42762350,149762350
Beloved,2018,Documentary,22,7.3,53000000,22852487,22852487
Never Again,2017,Drama,67,5.7,500000,307631,308793
Jonah Hex,2010,"Action,Drama,Fantasy",51860,4.7,47000000,10547117,11022696
Paddington,2014,"Adventure,Comedy,Family",84679,7.2,55000000,76223578,258789097
Trance,2010,Horror,77,4.6,16000000,2322593,22594052
Brave,2012,"Adventure,Animation,Comedy",338728,7.1,185000000,237282182,554606532
The Roommate,2011,"Drama,Thriller",33062,4.9,16000000,37300107,52545707
Cyrus,2010,"Comedy,Drama,Romance",32457,6.3,7000000,7468936,10062896
MacGruber,2010,"Action,Comedy,Romance",39782,5.5,10000000,8525600,8629895
The Change-Up,2011,"Comedy,Fantasy",155374,6.3,52000000,37243418,75997067
Warm Bodies,2013,"Comedy,Horror,Romance",208709,6.9,30000000,66380662,115121608
Three Kings,2010,"Biography,Documentary,Sport",5,6.8,48000000,60652036,107752036
Alvin and the Chipmunks: Chipwrecked,2011,"Adventure,Animation,Comedy",28158,4.4,80000000,133107389,349088523
Inside Job,2010,"Crime,Documentary",65304,8.3,2000000,4311834,7799257
Super 8,2011,"Mystery,Sci-Fi,Thriller",320575,7.0,50000000,127004179,257972745
Kick-Ass 2,2013,"Action,Comedy,Crime",238832,6.6,28000000,28795985,63129909
Pacific Rim,2013,"Action,Adventure,Sci-Fi",443667,6.9,190000000,101802906,411002906
Peeples,2013,"Comedy,Romance",4452,5.3,11000000,9177065,9307166
Your Sister's Sister,2011,"Comedy,Drama",24780,6.7,120000,1597486,3090593
Anna Karenina,2012,"Drama,Romance",84668,6.6,49000000,12816367,71004627
This Is Martin Bonner,2013,Drama,846,6.6,42000,0,0
Jodaeiye Nader az Simin,2011,"Drama,Thriller",197684,8.3,800000,7098492,24426169
X-Men: Days of Future Past,2014,"Action,Adventure,Sci-Fi",620079,8.0,200000000,233921534,747862775
Manchester by the Sea,2016,Drama,214557,7.8,8500000,47695371,77733867
Fantastic Beasts: The Crimes of Grindelwald,2018,"Adventure,Family,Fantasy",163151,6.6,200000000,159555901,652220086
Gamer,2014,Thriller,12,3.6,50000000,20534907,42002029
Darkest Hour,2017,"Biography,Drama,History",136546,7.4,30000000,56443120,150807172
Karachi se Lahore,2015,"Adventure,Comedy,Family",1198,6.6,1000000,0,17721
Book Club,2015,Documentary,9,6.6,10000000,68566296,91113683
Moonlight,2016,Drama,227964,7.4,1500000,27854931,65245512
I Am Not Your Negro,2016,Documentary,13948,7.8,1000000,7123919,9617402
Forsaken,2017,Thriller,76,5.0,18000000,0,0
The Perfect Host,2016,Fantasy,5,7.2,1000000,48764,51587
Motherhood,2017,"Drama,Romance",110,4.6,10000000,93388,723388
Creed II,2018,"Drama,Sport",72503,7.2,50000000,115715889,213591522
Little Women,2018,"Drama,Family",626,4.6,15000000,50003303,50003303
Hitman,2014,Action,12,4.9,24000000,39687694,99135571
Venus,2017,"Comedy,Drama,Family",161,5.9,6000000,3347411,7818479
Green Book,2018,"Biography,Comedy,Drama",204972,8.3,23000000,85080171,322034439
The Great Wall,2017,Documentary,24,6.5,150000000,45157105,334486852
Jurassic World,2015,"Action,Adventure,Sci-Fi",539338,7.0,215000000,652270625,1648854864
John Carter,2012,"Action,Adventure,Sci-Fi",241792,6.6,275000000,73058679,282778100
The Devil Inside,2010,"Horror,Thriller",34,6.7,1000000,53262945,101759490
The Ghost Writer,2010,"Drama,Mystery,Thriller",148274,7.2,45000000,15541549,65532491
The Bourne Legacy,2012,"Action,Adventure,Thriller",268678,6.7,125000000,113203870,280355920
