original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
John Carter,2012,"Action,Adventure,Sci-Fi",241792,6.6,275000000,73058679,282778100
The Ghost Writer,2010,"Drama,Mystery,Thriller",148274,7.2,45000000,15541549,65532491
The Bourne Legacy,2012,"Action,Adventure,Thriller",268678,6.7,125000000,113203870,280355920
Limitless,2011,"Mystery,Sci-Fi,Thriller",492490,7.4,27000000,79249455,155564919
Broken City,2013,"Crime,Drama,Thriller",71704,6.2,35000000,19701164,34480045
The Last Song,2010,"Drama,Music,Romance",74914,6.0,20000000,62950384,92678948
The Great Gatsby,2013,"Drama,Romance",433165,7.3,190000000,144840419,351040419
Dredd,2012,"Action,Crime,Sci-Fi",234616,7.1,45000000,13414714,41467606
Unknown,2011,"Action,Mystery,Thriller",235167,6.9,40000000,63686397,136123083
Happy Feet Two,2011,"Adventure,Animation,Comedy",38396,5.9,135000000,64006466,157956466
The Apparition,2012,"Horror,Thriller",18112,4.1,17000000,4936819,10637281
Buried,2010,"Drama,Mystery,Thriller",139426,7.0,1987650,1044143,21270290
Baywatch,2017,"Action,Comedy,Crime",137528,5.6,60000000,58060186,175863783
Melancholia,2011,"Drama,Sci-Fi",153434,7.2,9400000,3030848,21817298
Texas Chainsaw 3D,2013,"Horror,Thriller",41784,4.8,20000000,34341945,47666013
Only God Forgives,2013,"Crime,Drama",100318,5.7,4800000,775849,4494560
Prom,2011,"Comedy,Drama,Family",14279,5.4,8000000,10130219,10763183
Carnage,2011,"Comedy,Drama",111372,7.2,25000000,2546747,38112154
Ender's Game,2013,"Action,Adventure,Fantasy",211722,6.6,110000000,61737191,127983283
Red Lights,2012,"Drama,Fantasy,Horror",55287,6.2,17700000,49521,14518884
Deepwater Horizon,2016,"Action,Drama,History",133303,7.1,156000000,61433527,122603824
The Purge: Election Year,2016,"Action,Horror,Sci-Fi",80254,6.0,10000000,79042440,118514727
Meet the Blacks,2016,"Comedy,Horror",34669,5.9,900000,9097072,9097072
Can You Ever Forgive Me?,2018,"Biography,Comedy,Crime",29473,7.2,10000000,8803865,11752387
